quarter,credit_loss_allowance,filed,form
CY2019Q4,0,2022-02-25,10-K
CY2020Q1,1525000,2020-08-07,10-Q
CY2020Q2,1471000,2020-11-06,10-Q
CY2020Q3,1027000,2020-11-06,10-Q
CY2020Q4,388000,2023-03-01,10-K
CY2021Q1,13000,2021-08-04,10-Q
CY2021Q2,0,2021-11-04,10-Q
CY2021Q3,0,2021-11-04,10-Q
CY2021Q4,0,2024-02-29,10-K
CY2022Q1,705000,2022-08-05,10-Q
CY2022Q2,1771000,2022-11-07,10-Q
CY2022Q3,2315000,2022-11-07,10-Q
CY2022Q4,2540000,2025-03-03,10-K
CY2023Q1,2568000,2023-08-07,10-Q
CY2023Q2,2639000,2023-11-07,10-Q
CY2023Q3,2573000,2023-11-07,10-Q
CY2023Q4,2482000,2026-02-27,10-K
CY2024Q1,1853000,2025-08-08,10-Q
CY2024Q2,1339000,2025-11-07,10-Q
CY2024Q3,867000,2025-11-07,10-Q
CY2024Q4,921000,2026-05-07,10-Q
CY2025Q1,854000,2026-05-07,10-Q
CY2025Q2,839000,2025-11-07,10-Q
CY2025Q3,795000,2025-11-07,10-Q
CY2025Q4,1066000,2026-05-07,10-Q
CY2026Q1,4359000,2026-05-07,10-Q
