quarter,dividend_per_share,filed,form
CY2009Q2,0.25,2010-08-06,10-Q/A
CY2009Q3,0.25,2010-11-04,10-Q
CY2010Q1,0.25,2012-02-27,10-K
CY2010Q2,0.25,2012-02-27,10-K
CY2010Q3,0.25,2012-02-27,10-K
CY2010Q4,0.25,2012-02-27,10-K
CY2011Q1,0.25,2013-02-26,10-K
CY2011Q2,0.25,2013-02-26,10-K
CY2011Q3,0.25,2013-02-26,10-K
CY2011Q4,0.25,2013-02-26,10-K
CY2012Q1,0.25,2014-02-26,10-K
CY2012Q2,0.25,2014-02-26,10-K
CY2012Q3,0.25,2014-02-26,10-K
CY2012Q4,0.25,2014-02-26,10-K
CY2013Q1,0.28,2015-02-25,10-K
CY2013Q2,0.28,2015-02-25,10-K
CY2013Q3,0.28,2015-02-25,10-K
CY2013Q4,0.28,2015-02-25,10-K
CY2014Q1,0.28,2016-02-26,10-K
CY2014Q2,0.28,2016-02-26,10-K
CY2014Q3,0.28,2016-02-26,10-K
CY2014Q4,0.28,2016-02-26,10-K
CY2015Q1,0.28,2017-02-24,10-K
CY2015Q2,0.28,2017-02-24,10-K
CY2015Q3,0.28,2017-02-24,10-K
CY2015Q4,0.28,2017-02-24,10-K
CY2016Q1,0.28,2018-02-28,10-K
CY2016Q2,0.28,2018-02-28,10-K
CY2016Q3,0.28,2018-02-28,10-K
CY2016Q4,0.28,2018-02-28,10-K
CY2017Q1,0.28,2019-03-01,10-K
CY2017Q2,0.28,2019-03-01,10-K
CY2017Q3,0.28,2019-03-01,10-K
CY2017Q4,0.28,2019-03-01,10-K
CY2018Q1,0.28,2020-03-02,10-K
CY2018Q2,0.3,2020-03-02,10-K
CY2018Q3,0.3,2020-03-02,10-K
CY2018Q4,0.3,2020-03-02,10-K
CY2019Q1,0.3,2020-05-15,10-Q
CY2019Q2,0.3,2020-08-07,10-Q
CY2019Q3,0.3,2020-11-06,10-Q
CY2019Q4,0.3,2020-03-02,10-K
CY2020Q1,0.32,2021-05-07,10-Q
CY2020Q2,0.125,2021-08-04,10-Q
CY2020Q3,0.14,2021-11-04,10-Q
CY2021Q1,0.16,2022-05-06,10-Q
CY2021Q2,0.18,2022-08-05,10-Q
CY2021Q3,0.21,2022-11-07,10-Q
CY2022Q1,0.23,2023-05-05,10-Q
CY2022Q2,0.23,2023-08-07,10-Q
CY2022Q3,0.23,2023-11-07,10-Q
CY2023Q1,0.23,2024-05-08,10-Q
CY2023Q2,0.16,2024-08-07,10-Q
CY2023Q3,0.16,2024-11-07,10-Q
CY2024Q1,0.16,2025-05-09,10-Q
CY2024Q2,0.16,2025-08-08,10-Q
CY2024Q3,0.17,2025-11-07,10-Q
CY2025Q1,0.18,2026-05-07,10-Q
CY2025Q2,0.18,2025-08-08,10-Q
CY2025Q3,0.18,2025-11-07,10-Q
CY2026Q1,0.18,2026-05-07,10-Q
