quarter,dividend_per_share,source
CY2009Q2,0.25,reported
CY2009Q3,0.25,reported
CY2010Q1,0.25,reported
CY2010Q2,0.25,reported
CY2010Q3,0.25,reported
CY2010Q4,0.25,reported
CY2011Q1,0.25,reported
CY2011Q2,0.25,reported
CY2011Q3,0.25,reported
CY2011Q4,0.25,reported
CY2012Q1,0.25,reported
CY2012Q2,0.25,reported
CY2012Q3,0.25,reported
CY2012Q4,0.25,reported
CY2013Q1,0.28,reported
CY2013Q2,0.28,reported
CY2013Q3,0.28,reported
CY2013Q4,0.28,reported
CY2014Q1,0.28,reported
CY2014Q2,0.28,reported
CY2014Q3,0.28,reported
CY2014Q4,0.28,reported
CY2015Q1,0.28,reported
CY2015Q2,0.28,reported
CY2015Q3,0.28,reported
CY2015Q4,0.28,reported
CY2016Q1,0.28,reported
CY2016Q2,0.28,reported
CY2016Q3,0.28,reported
CY2016Q4,0.28,reported
CY2017Q1,0.28,reported
CY2017Q2,0.28,reported
CY2017Q3,0.28,reported
CY2017Q4,0.28,reported
CY2018Q1,0.28,reported
CY2018Q2,0.3,reported
CY2018Q3,0.3,reported
CY2018Q4,0.3,reported
CY2019Q1,0.3,reported
CY2019Q2,0.3,reported
CY2019Q3,0.3,reported
CY2019Q4,0.3,reported
CY2020Q1,0.32,reported
CY2020Q2,0.125,reported
CY2020Q3,0.14,reported
CY2020Q4,0.14,derived (Annual - Q1 - Q2 - Q3)
CY2021Q1,0.16,reported
CY2021Q2,0.18,reported
CY2021Q3,0.21,reported
CY2021Q4,0.23,derived (Annual - Q1 - Q2 - Q3)
CY2022Q1,0.23,reported
CY2022Q2,0.23,reported
CY2022Q3,0.23,reported
CY2022Q4,0.23,derived (Annual - Q1 - Q2 - Q3)
CY2023Q1,0.23,reported
CY2023Q2,0.16,reported
CY2023Q3,0.16,reported
CY2023Q4,0.16,derived (Annual - Q1 - Q2 - Q3)
CY2024Q1,0.16,reported
CY2024Q2,0.16,reported
CY2024Q3,0.17,reported
CY2024Q4,0.18,derived (Annual - Q1 - Q2 - Q3)
CY2025Q1,0.18,reported
CY2025Q2,0.18,reported
CY2025Q3,0.18,reported
CY2025Q4,0.18,derived (Annual - Q1 - Q2 - Q3)
CY2026Q1,0.18,reported
