quarter,eps,filed,form
CY2009Q2,0.1,2010-08-06,10-Q/A
CY2009Q3,0.34,2010-11-04,10-Q
CY2010Q1,0.58,2012-02-27,10-K
CY2010Q2,0.35,2012-02-27,10-K
CY2010Q3,0.25,2012-02-27,10-K
CY2010Q4,0.18,2012-02-27,10-K
CY2011Q1,0.22,2013-02-26,10-K
CY2011Q2,0.11,2013-02-26,10-K
CY2011Q3,0.01,2013-02-26,10-K
CY2011Q4,-0.03,2013-02-26,10-K
CY2012Q1,0.37,2014-02-26,10-K
CY2012Q2,0.24,2014-02-26,10-K
CY2012Q3,0.48,2014-02-26,10-K
CY2012Q4,0.5,2014-02-26,10-K
CY2013Q1,0.69,2015-02-25,10-K
CY2013Q2,0.71,2015-02-25,10-K
CY2013Q3,0.25,2015-02-25,10-K
CY2013Q4,0.29,2015-02-25,10-K
CY2014Q1,0.14,2016-02-26,10-K
CY2014Q2,0.18,2016-02-26,10-K
CY2014Q3,0.5,2016-02-26,10-K
CY2014Q4,0.31,2016-02-26,10-K
CY2015Q1,0.16,2017-02-24,10-K
CY2015Q2,0.31,2017-02-24,10-K
CY2015Q3,0.22,2017-02-24,10-K
CY2015Q4,0.46,2017-02-24,10-K
CY2016Q1,0.15,2018-02-28,10-K
CY2016Q2,0.48,2018-02-28,10-K
CY2016Q3,0.58,2018-02-28,10-K
CY2016Q4,0.31,2018-02-28,10-K
CY2017Q1,0.43,2019-03-01,10-K
CY2017Q2,0.43,2019-03-01,10-K
CY2017Q3,0.41,2019-03-01,10-K
CY2017Q4,0.35,2019-03-01,10-K
CY2018Q1,0.5,2020-03-02,10-K
CY2018Q2,0.38,2020-03-02,10-K
CY2018Q3,0.42,2020-03-02,10-K
CY2018Q4,-0.02,2020-03-02,10-K
CY2019Q1,0.49,2020-05-15,10-Q
CY2019Q2,0.3,2020-08-07,10-Q
CY2019Q3,0.31,2020-11-06,10-Q
CY2019Q4,0.38,2020-03-02,10-K
CY2020Q1,-8.28,2021-05-07,10-Q
CY2020Q2,1,2021-08-04,10-Q
CY2020Q3,1.02,2021-11-04,10-Q
CY2021Q1,0.72,2022-05-06,10-Q
CY2021Q2,0.66,2022-08-05,10-Q
CY2021Q3,0.65,2022-11-07,10-Q
CY2022Q1,0.24,2023-05-05,10-Q
CY2022Q2,-0.85,2023-08-07,10-Q
CY2022Q3,-0.44,2023-11-07,10-Q
CY2023Q1,0.02,2024-05-08,10-Q
CY2023Q2,0,2024-08-07,10-Q
CY2023Q3,-0.29,2024-11-07,10-Q
CY2024Q1,0.21,2025-05-09,10-Q
CY2024Q2,0.1,2025-08-08,10-Q
CY2024Q3,0.09,2025-11-07,10-Q
CY2025Q1,0.1,2026-05-07,10-Q
CY2025Q2,-0.76,2025-08-08,10-Q
CY2025Q3,-0.08,2025-11-07,10-Q
CY2026Q1,-0.07,2026-05-07,10-Q
