quarter,eps,source
CY2009Q2,0.1,reported
CY2009Q3,0.34,reported
CY2010Q1,0.58,reported
CY2010Q2,0.35,reported
CY2010Q3,0.25,reported
CY2010Q4,0.18,reported
CY2011Q1,0.22,reported
CY2011Q2,0.11,reported
CY2011Q3,0.01,reported
CY2011Q4,-0.03,reported
CY2012Q1,0.37,reported
CY2012Q2,0.24,reported
CY2012Q3,0.48,reported
CY2012Q4,0.5,reported
CY2013Q1,0.69,reported
CY2013Q2,0.71,reported
CY2013Q3,0.25,reported
CY2013Q4,0.29,reported
CY2014Q1,0.14,reported
CY2014Q2,0.18,reported
CY2014Q3,0.5,reported
CY2014Q4,0.31,reported
CY2015Q1,0.16,reported
CY2015Q2,0.31,reported
CY2015Q3,0.22,reported
CY2015Q4,0.46,reported
CY2016Q1,0.15,reported
CY2016Q2,0.48,reported
CY2016Q3,0.58,reported
CY2016Q4,0.31,reported
CY2017Q1,0.43,reported
CY2017Q2,0.43,reported
CY2017Q3,0.41,reported
CY2017Q4,0.35,reported
CY2018Q1,0.5,reported
CY2018Q2,0.38,reported
CY2018Q3,0.42,reported
CY2018Q4,-0.02,reported
CY2019Q1,0.49,reported
CY2019Q2,0.3,reported
CY2019Q3,0.31,reported
CY2019Q4,0.38,reported
CY2020Q1,-8.28,reported
CY2020Q2,1,reported
CY2020Q3,1.02,reported
CY2020Q4,1.14,derived (Annual - Q1 - Q2 - Q3)
CY2021Q1,0.72,reported
CY2021Q2,0.66,reported
CY2021Q3,0.65,reported
CY2021Q4,0.34,derived (Annual - Q1 - Q2 - Q3)
CY2022Q1,0.24,reported
CY2022Q2,-0.85,reported
CY2022Q3,-0.44,reported
CY2022Q4,-0.38,derived (Annual - Q1 - Q2 - Q3)
CY2023Q1,0.02,reported
CY2023Q2,0,reported
CY2023Q3,-0.29,reported
CY2023Q4,0.16,derived (Annual - Q1 - Q2 - Q3)
CY2024Q1,0.21,reported
CY2024Q2,0.1,reported
CY2024Q3,0.09,reported
CY2024Q4,-0.08,derived (Annual - Q1 - Q2 - Q3)
CY2025Q1,0.1,reported
CY2025Q2,-0.76,reported
CY2025Q3,-0.08,reported
CY2025Q4,0.11,derived (Annual - Q1 - Q2 - Q3)
CY2026Q1,-0.07,reported
