quarter,total_liabilities,filed,form
CY2009Q4,4263559000,2011-02-24,10-K
CY2010Q2,4217057000,2010-08-06,10-Q/A
CY2010Q3,4135357000,2010-11-04,10-Q
CY2010Q4,4068096000,2012-02-27,10-K
CY2011Q1,4201455000,2011-05-05,10-Q
CY2011Q2,4138372000,2011-08-04,10-Q
CY2011Q3,4595388000,2011-11-03,10-Q
CY2011Q4,4850714000,2013-02-26,10-K
CY2012Q1,4409830000,2012-05-08,10-Q
CY2012Q2,4295121000,2012-08-07,10-Q
CY2012Q3,4247003000,2012-11-05,10-Q
CY2012Q4,3303934000,2014-02-26,10-K
CY2013Q1,3609243000,2013-05-06,10-Q
CY2013Q2,4226099000,2013-08-08,10-Q
CY2013Q3,3452346000,2013-11-07,10-Q
CY2013Q4,3362745000,2015-02-25,10-K
CY2014Q1,3756224000,2014-05-06,10-Q
CY2014Q2,4129646000,2014-08-08,10-Q
CY2014Q3,4345090000,2014-11-07,10-Q
CY2014Q4,4662825000,2016-02-26,10-K
CY2015Q1,4558809000,2015-05-07,10-Q
CY2015Q2,4331100000,2015-08-07,10-Q
CY2015Q3,5062451000,2015-11-06,10-Q
CY2015Q4,5073782000,2017-02-24,10-K
CY2016Q1,4641130000,2016-05-09,10-Q
CY2016Q2,4804989000,2016-08-09,10-Q
CY2016Q3,4742489000,2016-11-08,10-Q
CY2016Q4,4334049000,2018-02-28,10-K
CY2017Q1,4048520000,2017-05-05,10-Q
CY2017Q2,4476058000,2017-08-04,10-Q
CY2017Q3,4922059000,2017-11-07,10-Q
CY2017Q4,5827535000,2019-03-01,10-K
CY2018Q1,5779590000,2018-05-08,10-Q
CY2018Q2,6283596000,2018-08-08,10-Q
CY2018Q3,7778308000,2018-11-08,10-Q
CY2018Q4,10588612000,2020-03-02,10-K
CY2019Q1,10643432000,2019-05-09,10-Q
CY2019Q2,12287554000,2019-08-08,10-Q
CY2019Q3,13691224000,2019-11-08,10-Q
CY2019Q4,16168209000,2021-02-26,10-K
CY2020Q1,11575588000,2020-05-15,10-Q
CY2020Q2,9424966000,2020-08-07,10-Q
CY2020Q3,9348948000,2020-11-06,10-Q
CY2020Q4,9244167000,2022-02-25,10-K
CY2021Q1,9681273000,2021-05-07,10-Q
CY2021Q2,10701249000,2021-08-04,10-Q
CY2021Q3,11696891000,2021-11-04,10-Q
CY2021Q4,13320857000,2023-03-01,10-K
CY2022Q1,12808026000,2022-05-06,10-Q
CY2022Q2,12617445000,2022-08-05,10-Q
CY2022Q3,11991705000,2022-11-07,10-Q
CY2022Q4,11946914000,2024-02-29,10-K
CY2023Q1,11983606000,2023-05-05,10-Q
CY2023Q2,11672596000,2023-08-07,10-Q
CY2023Q3,11915339000,2023-11-07,10-Q
CY2023Q4,13301634000,2025-03-03,10-K
CY2024Q1,13833811000,2024-05-08,10-Q
CY2024Q2,15270366000,2024-08-07,10-Q
CY2024Q3,17204426000,2024-11-07,10-Q
CY2024Q4,17070481000,2026-02-27,10-K
CY2025Q1,18688281000,2025-05-09,10-Q
CY2025Q2,20279557000,2025-08-08,10-Q
CY2025Q3,21601752000,2025-11-07,10-Q
CY2025Q4,22718498000,2026-05-07,10-Q
CY2026Q1,25859086000,2026-05-07,10-Q
