quarter,net_income,filed,form
CY2009Q2,6723000,2010-08-06,10-Q/A
CY2009Q3,27128000,2010-11-04,10-Q
CY2010Q1,46844000,2012-02-27,10-K
CY2010Q2,28601000,2012-02-27,10-K
CY2010Q3,19898000,2012-02-27,10-K
CY2010Q4,14709000,2012-02-27,10-K
CY2011Q1,18165000,2013-02-26,10-K
CY2011Q2,9439000,2013-02-26,10-K
CY2011Q3,1297000,2013-02-26,10-K
CY2011Q4,-2558000,2013-02-26,10-K
CY2012Q1,30463000,2014-02-26,10-K
CY2012Q2,19527000,2014-02-26,10-K
CY2012Q3,39701000,2014-02-26,10-K
CY2012Q4,42078000,2014-02-26,10-K
CY2013Q1,60160000,2015-02-25,10-K
CY2013Q2,65573000,2015-02-25,10-K
CY2013Q3,21929000,2015-02-25,10-K
CY2013Q4,25135000,2015-02-25,10-K
CY2014Q1,12333000,2016-02-26,10-K
CY2014Q2,16017000,2016-02-26,10-K
CY2014Q3,45097000,2016-02-26,10-K
CY2014Q4,27122000,2016-02-26,10-K
CY2015Q1,14801000,2017-02-24,10-K
CY2015Q2,27064000,2017-02-24,10-K
CY2015Q3,19164000,2017-02-24,10-K
CY2015Q4,41059000,2017-02-24,10-K
CY2016Q1,12063000,2018-02-28,10-K
CY2016Q2,41281000,2018-02-28,10-K
CY2016Q3,52553000,2018-02-28,10-K
CY2016Q4,25355000,2018-02-28,10-K
CY2017Q1,36969000,2019-03-01,10-K
CY2017Q2,36324000,2019-03-01,10-K
CY2017Q3,36180000,2019-03-01,10-K
CY2017Q4,30933000,2019-03-01,10-K
CY2018Q1,46845000,2020-03-02,10-K
CY2018Q2,32747000,2020-03-02,10-K
CY2018Q3,40921000,2020-03-02,10-K
CY2018Q4,-913000,2020-03-02,10-K
CY2019Q1,54464000,2020-05-15,10-Q
CY2019Q2,31266000,2020-08-07,10-Q
CY2019Q3,34310000,2020-11-06,10-Q
CY2019Q4,49143000,2020-03-02,10-K
CY2020Q1,-943398000,2021-05-07,10-Q
CY2020Q2,165444000,2021-08-04,10-Q
CY2020Q3,141812000,2021-11-04,10-Q
CY2021Q1,97257000,2022-05-06,10-Q
CY2021Q2,90025000,2022-08-05,10-Q
CY2021Q3,88286000,2022-11-07,10-Q
CY2022Q1,30915000,2023-05-05,10-Q
CY2022Q2,-99966000,2023-08-07,10-Q
CY2022Q3,-50411000,2023-11-07,10-Q
CY2023Q1,4620000,2024-05-08,10-Q
CY2023Q2,2873000,2024-08-07,10-Q
CY2023Q3,-30810000,2024-11-07,10-Q
CY2024Q1,30262000,2025-05-09,10-Q
CY2024Q2,15534000,2025-08-08,10-Q
CY2024Q3,14826000,2025-11-07,10-Q
CY2025Q1,16147000,2026-05-07,10-Q
CY2025Q2,-98492000,2025-08-08,10-Q
CY2025Q3,-7704000,2025-11-07,10-Q
CY2026Q1,-5503000,2026-05-07,10-Q
