quarter,net_income,source
CY2009Q2,6723000,reported
CY2009Q3,27128000,reported
CY2010Q1,46844000,reported
CY2010Q2,28601000,reported
CY2010Q3,19898000,reported
CY2010Q4,14709000,reported
CY2011Q1,18165000,reported
CY2011Q2,9439000,reported
CY2011Q3,1297000,reported
CY2011Q4,-2558000,reported
CY2012Q1,30463000,reported
CY2012Q2,19527000,reported
CY2012Q3,39701000,reported
CY2012Q4,42078000,reported
CY2013Q1,60160000,reported
CY2013Q2,65573000,reported
CY2013Q3,21929000,reported
CY2013Q4,25135000,reported
CY2014Q1,12333000,reported
CY2014Q2,16017000,reported
CY2014Q3,45097000,reported
CY2014Q4,27122000,reported
CY2015Q1,14801000,reported
CY2015Q2,27064000,reported
CY2015Q3,19164000,reported
CY2015Q4,41059000,reported
CY2016Q1,12063000,reported
CY2016Q2,41281000,reported
CY2016Q3,52553000,reported
CY2016Q4,25355000,reported
CY2017Q1,36969000,reported
CY2017Q2,36324000,reported
CY2017Q3,36180000,reported
CY2017Q4,30933000,reported
CY2018Q1,46845000,reported
CY2018Q2,32747000,reported
CY2018Q3,40921000,reported
CY2018Q4,-913000,reported
CY2019Q1,54464000,reported
CY2019Q2,31266000,reported
CY2019Q3,34310000,reported
CY2019Q4,49143000,reported
CY2020Q1,-943398000,reported
CY2020Q2,165444000,reported
CY2020Q3,141812000,reported
CY2020Q4,54295000,derived (Annual - Q1 - Q2 - Q3)
CY2021Q1,97257000,reported
CY2021Q2,90025000,reported
CY2021Q3,88286000,reported
CY2021Q4,44045000,derived (Annual - Q1 - Q2 - Q3)
CY2022Q1,30915000,reported
CY2022Q2,-99966000,reported
CY2022Q3,-50411000,reported
CY2022Q4,-44058000,derived (Annual - Q1 - Q2 - Q3)
CY2023Q1,4620000,reported
CY2023Q2,2873000,reported
CY2023Q3,-30810000,reported
CY2023Q4,21043000,derived (Annual - Q1 - Q2 - Q3)
CY2024Q1,30262000,reported
CY2024Q2,15534000,reported
CY2024Q3,14826000,reported
CY2024Q4,-6618000,derived (Annual - Q1 - Q2 - Q3)
CY2025Q1,16147000,reported
CY2025Q2,-98492000,reported
CY2025Q3,-7704000,reported
CY2025Q4,20023000,derived (Annual - Q1 - Q2 - Q3)
CY2026Q1,-5503000,reported
