quarter,net_interest_income,filed,form
CY2009Q2,35260000,2010-08-06,10-Q/A
CY2009Q3,45545000,2010-11-04,10-Q
CY2010Q1,40535000,2012-02-27,10-K
CY2010Q2,35406000,2012-02-27,10-K
CY2010Q3,35320000,2012-02-27,10-K
CY2010Q4,34129000,2012-02-27,10-K
CY2011Q1,32361000,2013-02-26,10-K
CY2011Q2,29322000,2013-02-26,10-K
CY2011Q3,29079000,2013-02-26,10-K
CY2011Q4,27380000,2013-02-26,10-K
CY2012Q1,28085000,2014-02-26,10-K
CY2012Q2,30642000,2014-02-26,10-K
CY2012Q3,31438000,2014-02-26,10-K
CY2012Q4,20426000,2014-02-26,10-K
CY2013Q1,35223000,2015-02-25,10-K
CY2013Q2,36303000,2015-02-25,10-K
CY2013Q3,35695000,2015-02-25,10-K
CY2013Q4,37964000,2015-02-25,10-K
CY2014Q1,36416000,2016-02-26,10-K
CY2014Q2,36842000,2016-02-26,10-K
CY2014Q3,40001000,2016-02-26,10-K
CY2014Q4,41348000,2016-02-26,10-K
CY2015Q1,39785000,2017-02-24,10-K
CY2015Q2,40365000,2017-02-24,10-K
CY2015Q3,39609000,2017-02-24,10-K
CY2015Q4,43790000,2017-02-24,10-K
CY2016Q1,38378000,2018-02-28,10-K
CY2016Q2,44343000,2018-02-28,10-K
CY2016Q3,39309000,2018-02-28,10-K
CY2016Q4,35797000,2018-02-28,10-K
CY2017Q1,33597000,2019-03-01,10-K
CY2017Q2,34990000,2019-03-01,10-K
CY2017Q3,35294000,2019-03-01,10-K
CY2017Q4,35360000,2019-03-01,10-K
CY2018Q1,35105000,2020-03-02,10-K
CY2018Q2,34763000,2020-03-02,10-K
CY2018Q3,35046000,2020-03-02,10-K
CY2018Q4,34764000,2020-03-02,10-K
CY2019Q1,31765000,2020-05-15,10-Q
CY2019Q2,32322000,2020-08-07,10-Q
CY2019Q3,33513000,2020-11-06,10-Q
CY2019Q4,44873000,2020-03-02,10-K
CY2020Q1,51410000,2021-05-07,10-Q
CY2020Q2,27280000,2021-08-04,10-Q
CY2020Q3,21571000,2021-11-04,10-Q
CY2021Q1,25753000,2022-05-06,10-Q
CY2021Q2,30630000,2022-08-05,10-Q
CY2021Q3,41968000,2022-11-07,10-Q
CY2022Q1,53102000,2023-05-05,10-Q
CY2022Q2,40488000,2023-08-07,10-Q
CY2022Q3,34935000,2023-11-07,10-Q
CY2023Q1,26437000,2024-05-08,10-Q
CY2023Q2,26096000,2024-08-07,10-Q
CY2023Q3,20351000,2024-11-07,10-Q
CY2024Q1,24210000,2025-05-09,10-Q
CY2024Q2,25293000,2025-08-08,10-Q
CY2024Q3,25498000,2025-11-07,10-Q
CY2025Q1,27942000,2026-05-07,10-Q
CY2025Q2,13834000,2025-08-08,10-Q
CY2025Q3,14994000,2025-11-07,10-Q
CY2026Q1,34717000,2026-05-07,10-Q
